Date,S,E,I,R,H,C,D
256,942849.99,31.565,77.13,56581.52,6.63,1.745,451.42
257,942821.115,33.71,81.475,56603.38,7.105,1.705,451.51
258,942790.62,35.305,87.19,56625.94,7.535,1.85,451.56
259,942758.255,37.795,92.455,56649.855,8.08,1.91,451.65
260,942723.595,40.2,98.055,56675.81,8.57,1.995,451.775
261,942687.13,42.58,103.88,56703.2,9.22,2.155,451.835
262,942648.77,44.955,109.685,56732.615,9.735,2.27,451.97
263,942608.09,47.33,116.79,56763.045,10.28,2.38,452.085
264,942564.7,50.41,123.72,56795.395,10.99,2.585,452.2
265,942519.015,53.15,131.485,56829.54,11.63,2.88,452.3
266,942471.12,55.78,139.32,56866.095,12.205,2.99,452.49
267,942420.145,59.18,146.365,56905.465,13.035,3.185,452.625
268,942366.715,62.52,154.845,56945.79,14.055,3.3,452.775
269,942309.885,66.095,164.6,56988.135,14.73,3.655,452.9
270,942249.755,69.91,173.76,57034.07,15.595,3.805,453.105
271,942187.52,72.55,183.56,57082.69,16.28,4.15,453.25
272,942119.605,78.82,192.395,57134.06,17.215,4.44,453.465
273,942049.895,81.54,204.905,57187.275,17.945,4.755,453.685
274,941975.46,86.33,215.24,57245.06,19.09,4.88,453.94
275,941897.605,90.63,228.39,57303.995,20.21,5.025,454.145
276,941816.88,94.43,239.465,57368.205,21.225,5.4,454.395
277,941731.725,99.585,251.065,57434.675,22.67,5.59,454.69
278,941642.495,104.275,264.265,57504.225,23.97,5.815,454.955
279,941547.845,110.255,277.35,57577.925,25.19,6.14,455.295
280,941449.015,115.09,291.975,57655.235,26.7,6.39,455.595
281,941345.5,120.5,306.62,57736.98,27.8,6.7,455.9
282,941237.91,125.945,320.495,57823.09,29.21,7.06,456.29
283,941125.3,131.64,336.03,57912.055,30.785,7.64,456.55
284,941008.235,136.405,351.835,58006.305,32.25,8.025,456.945
285,940885.695,143.24,367.31,58104.225,33.49,8.79,457.25
286,940757.79,149.745,383.405,58206.735,35.415,9.25,457.66
287,940626.205,154.61,401.61,58312.185,37.41,9.9,458.08
288,940488.38,161.055,418.325,58423.805,39.515,10.37,458.55
289,940344.01,168.005,435.66,58541.18,41.735,10.47,458.94
