Date,S,E,I,R,H,C,D
162,954723.425,0.0,0.0,44914.58,0.12,0.12,361.755
163,954723.425,0.0,0.0,44914.615,0.095,0.105,361.76
164,954723.425,0.0,0.0,44914.635,0.09,0.09,361.76
165,954723.425,0.0,0.0,44914.655,0.065,0.09,361.765
166,954723.425,0.0,0.0,44914.66,0.065,0.07,361.78
167,954723.425,0.0,0.0,44914.665,0.06,0.065,361.785
168,954723.425,0.0,0.0,44914.67,0.06,0.06,361.785
169,954723.425,0.0,0.0,44914.675,0.05,0.065,361.785
170,954723.425,0.0,0.0,44914.68,0.05,0.06,361.785
171,954723.425,0.0,0.0,44914.685,0.05,0.055,361.785
172,954723.425,0.0,0.0,44914.69,0.05,0.05,361.785
173,954723.425,0.0,0.0,44914.7,0.04,0.045,361.79
174,954723.425,0.0,0.0,44914.705,0.035,0.045,361.79
175,954723.425,0.0,0.0,44914.715,0.03,0.03,361.8
176,954723.425,0.0,0.0,44914.725,0.025,0.02,361.805
177,954723.425,0.0,0.0,44914.725,0.02,0.025,361.805
178,954723.425,0.0,0.0,44914.725,0.02,0.025,361.805
179,954723.425,0.0,0.0,44914.73,0.02,0.02,361.805
180,954723.425,0.0,0.0,44914.74,0.01,0.02,361.805
181,954723.425,0.0,0.0,44914.74,0.01,0.015,361.81
182,954723.425,0.0,0.0,44914.745,0.01,0.01,361.81
183,954723.425,0.0,0.0,44914.745,0.01,0.01,361.81
184,954723.425,0.0,0.0,44914.745,0.01,0.01,361.81
185,954723.425,0.0,0.0,44914.745,0.01,0.01,361.81
186,954723.425,0.0,0.0,44914.745,0.01,0.01,361.81
187,954723.425,0.0,0.0,44914.75,0.01,0.005,361.81
188,954723.425,0.0,0.0,44914.755,0.01,0.0,361.81
189,954723.425,0.0,0.0,44914.755,0.01,0.0,361.81
190,954723.425,0.0,0.0,44914.755,0.01,0.0,361.81
191,954723.425,0.0,0.0,44914.755,0.01,0.0,361.81
192,954723.425,0.0,0.0,44914.755,0.01,0.0,361.81
193,954723.425,0.0,0.0,44914.755,0.01,0.0,361.81
194,954723.425,0.0,0.0,44914.755,0.01,0.0,361.81
195,954723.425,0.0,0.0,44914.755,0.01,0.0,361.81
196,954723.425,0.0,0.0,44914.755,0.01,0.0,361.81
197,954723.425,0.0,0.0,44914.755,0.01,0.0,361.81
198,954723.425,0.0,0.0,44914.755,0.01,0.0,361.81
199,954723.425,0.0,0.0,44914.755,0.01,0.0,361.81
200,954723.425,0.0,0.0,44914.755,0.01,0.0,361.81
201,954723.425,0.0,0.0,44914.755,0.01,0.0,361.81
202,954723.425,0.0,0.0,44914.755,0.005,0.005,361.81
203,954723.425,0.0,0.0,44914.755,0.005,0.005,361.81
204,954723.425,0.0,0.0,44914.755,0.005,0.005,361.81
205,954723.425,0.0,0.0,44914.755,0.005,0.005,361.81
206,954723.425,0.0,0.0,44914.755,0.005,0.005,361.81
207,954723.425,0.0,0.0,44914.755,0.005,0.005,361.81
208,954723.425,0.0,0.0,44914.76,0.005,0.0,361.81
209,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
210,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
211,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
212,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
213,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
214,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
215,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
216,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
217,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
218,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
219,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
220,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
221,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
222,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
223,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
224,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
225,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
226,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
227,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
228,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
229,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
230,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
231,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
232,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
233,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
234,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
235,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
236,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
237,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
238,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
239,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
240,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
241,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
242,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
243,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
244,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
245,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
246,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
247,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
248,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
249,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
250,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
251,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
252,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
253,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
254,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
255,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
256,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
257,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
258,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
259,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
260,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
261,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
262,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
263,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
264,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
265,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
266,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
267,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
268,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
269,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
270,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
271,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
272,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
273,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
274,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
275,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
276,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
277,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
278,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
279,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
280,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
281,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
282,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
283,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
284,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
285,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
286,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
287,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
288,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
289,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
290,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
291,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
292,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
293,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
294,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
295,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
296,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
297,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
298,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
299,954723.425,0.0,0.0,44914.765,0.0,0.0,361.81
