date,S,E,I,R,H,C,D
272,743437.44,5421.775,16370.52,230605.885,2186.41,660.115,1317.855
273,738882.855,5368.52,16295.915,235232.015,2200.9,669.035,1350.76
274,734370.945,5321.955,16191.805,239843.695,2210.42,677.765,1383.415
275,729908.79,5263.04,16077.25,244429.54,2218.995,685.535,1416.85
276,725514.685,5189.23,15942.25,248985.21,2226.065,691.95,1450.61
277,721173.085,5124.585,15789.25,253501.28,2230.905,696.235,1484.66
278,716890.84,5054.665,15629.555,257972.895,2232.77,700.02,1519.255
279,712672.375,4982.28,15447.44,262405.57,2233.585,704.645,1554.105
280,708520.895,4901.145,15260.845,266790.745,2228.68,709.0,1588.69
281,704439.8,4819.35,15064.18,271119.76,2219.58,713.995,1623.335
282,700424.79,4740.56,14848.885,275399.56,2214.2,713.87,1658.135
283,696490.835,4649.24,14633.93,279615.63,2201.145,716.24,1692.98
284,692626.515,4564.07,14401.22,283776.03,2186.165,717.775,1728.225
285,688844.54,4468.19,14168.215,287865.365,2172.535,717.875,1763.28
286,685134.15,4384.185,13912.345,291898.27,2157.84,714.595,1798.615
287,681507.02,4288.5,13655.625,295862.07,2139.755,713.385,1833.645
288,677957.89,4195.69,13392.005,299754.805,2119.47,711.66,1868.48
289,674489.105,4099.915,13118.82,303581.505,2097.295,709.24,1904.12
290,671102.655,4005.54,12851.595,307319.5,2075.49,706.785,1938.435
291,667799.17,3906.04,12577.63,310993.085,2049.645,701.25,1973.18
292,664577.11,3811.665,12302.345,314584.93,2020.59,695.065,2008.295
293,661432.845,3720.405,12023.73,318096.215,1992.55,691.38,2042.875
294,658374.995,3616.505,11744.325,321536.295,1966.935,683.985,2076.96
295,655395.05,3524.23,11459.2,324895.525,1938.53,677.18,2110.285
296,652498.81,3429.945,11169.05,328182.755,1905.815,669.57,2144.055
297,649689.32,3327.945,10888.34,331380.21,1875.365,662.4,2176.42
298,646958.395,3236.63,10596.475,334502.895,1843.185,654.21,2208.21
299,644308.83,3135.855,10317.97,337541.525,1807.48,648.21,2240.13
